vendorid,pickup_datetime,dropoff_datetime,Store_and_fwd_flag,rate_code,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Improvement_surcharge,Total_amount,Payment_type,Trip_type
2,06/23/2015 02:32:00 AM,06/23/2015 02:39:02 AM,N,1,-73.94597625732422,40.80800628662109,-73.92656707763672,40.82458114624024,1,2.29,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2,1.0
2,03/07/2015 03:58:44 PM,03/07/2015 04:18:13 PM,N,1,-73.86940002441406,40.73418426513672,-73.8513412475586,40.69402694702149,1,3.53,16.0,0.0,0.5,0.0,0.0,,0.3,16.8,2,1.0
2,06/10/2015 07:21:09 PM,06/10/2015 07:34:48 PM,N,1,-73.95412445068358,40.79094696044922,-73.94351196289062,40.77658081054688,1,1.53,10.0,1.0,0.5,1.0,0.0,,0.3,12.8,1,1.0
2,12/13/2015 12:59:12 AM,12/13/2015 01:03:25 AM,N,1,-73.87918090820312,40.73737335205078,-73.8791275024414,40.737319946289055,1,0.34,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1.0
2,02/20/2015 09:00:31 AM,02/20/2015 09:07:31 AM,N,1,-73.93906402587889,40.804935455322266,-73.95160675048828,40.7927131652832,1,1.3,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2,1.0
2,01/26/2015 03:01:25 PM,01/26/2015 03:05:45 PM,N,1,-73.91195678710938,40.77521133422852,-73.91327667236328,40.781368255615234,1,0.62,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2,1.0
2,06/11/2015 04:38:19 PM,06/11/2015 04:45:20 PM,N,1,-73.94701385498048,40.787994384765625,-73.94022369384764,40.8059959411621,2,1.54,7.0,1.0,0.5,0.0,0.0,,0.3,8.8,2,1.0
1,06/13/2015 09:48:46 PM,06/13/2015 09:49:04 PM,N,1,-73.92753601074217,40.818462371826165,-73.92754364013672,40.818462371826165,1,0.0,2.5,0.5,0.5,0.0,0.0,,0.3,3.8,2,1.0
2,11/11/2015 06:22:28 PM,11/11/2015 06:23:46 PM,N,1,-73.95760345458984,40.7179069519043,-73.9519805908203,40.723087310791016,1,0.47,3.5,0.0,0.5,0.0,0.0,,0.3,4.3,2,1.0
2,06/08/2015 08:30:56 AM,06/08/2015 09:02:26 AM,N,1,-73.9051742553711,40.86282730102539,-73.9461669921875,40.78538131713867,1,6.79,27.0,0.0,0.5,0.0,0.0,,0.3,27.8,2,1.0
2,04/18/2015 12:48:24 AM,04/18/2015 12:49:54 AM,N,1,-73.93119049072266,40.84821319580078,-73.92431640625,40.84234237670898,1,0.63,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,1,1.0
1,06/02/2015 08:09:11 PM,06/02/2015 08:16:34 PM,N,1,-73.954833984375,40.799224853515625,-73.95245361328125,40.784950256347656,1,1.4,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2,1.0
2,07/19/2015 02:14:20 PM,07/19/2015 02:39:05 PM,N,1,-73.99458312988281,40.7028923034668,-73.95719909667967,40.71847534179688,1,4.12,19.0,0.0,0.5,0.0,0.0,,0.3,19.8,2,1.0
2,08/03/2015 03:42:28 PM,08/03/2015 03:58:19 PM,N,1,-73.83709716796875,40.77262115478516,-73.90180969238281,40.77416610717773,1,5.04,17.0,0.0,0.5,3.56,0.0,,0.3,21.36,1,1.0
2,11/26/2015 12:47:20 PM,11/26/2015 01:25:32 PM,N,1,-73.94676208496092,40.7657356262207,-73.99858093261719,40.75143814086913,1,6.52,28.5,0.0,0.5,5.86,0.0,,0.3,35.16,1,1.0
2,04/04/2015 03:38:36 AM,04/04/2015 03:50:13 AM,N,1,-73.95259094238281,40.714088439941406,-73.91947937011719,40.7019157409668,1,2.54,10.5,0.5,0.5,2.36,0.0,,0.3,14.16,1,1.0
1,01/23/2015 08:18:22 PM,01/23/2015 08:24:03 PM,N,1,-73.98292541503906,40.69393539428711,-73.96430206298828,40.69427108764648,1,1.5,7.0,0.5,0.5,1.0,0.0,,0.3,9.3,1,1.0
2,10/12/2015 07:15:06 PM,10/12/2015 07:26:05 PM,N,1,-73.94492340087889,40.78314208984375,-73.96589660644531,40.763721466064446,1,2.09,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2,1.0
1,12/23/2015 07:54:35 PM,12/23/2015 07:55:07 PM,N,1,-73.88162994384764,40.76178359985352,-73.88164520263672,40.76179885864258,1,2.8,2.5,1.0,0.5,5.7,0.0,,0.3,10.0,1,1.0
2,06/28/2015 11:45:37 PM,06/28/2015 11:51:02 PM,N,1,-73.88275909423827,40.863067626953125,-73.89288330078125,40.86980438232422,1,1.1,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1.0
2,03/12/2015 01:58:00 AM,03/12/2015 02:25:30 AM,N,1,-73.951904296875,40.71745300292969,-73.98824310302734,40.77927780151367,1,8.04,26.5,0.5,0.5,2.0,0.0,,0.3,29.8,1,1.0
2,07/24/2015 08:19:24 PM,07/24/2015 08:39:24 PM,N,1,-73.98719787597656,40.691383361816406,-73.95030975341797,40.658008575439446,1,3.86,16.0,0.5,0.5,0.0,0.0,,0.3,17.3,2,1.0
2,10/03/2015 12:38:18 AM,10/03/2015 12:43:25 AM,N,1,-73.91349029541014,40.75642776489258,-73.9240951538086,40.76475524902344,4,0.96,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1.0
1,02/13/2015 08:00:25 AM,02/13/2015 08:10:30 AM,N,1,-73.97756958007811,40.66487121582031,-73.97476196289062,40.6755485534668,4,1.0,7.5,0.0,0.5,1.65,0.0,,0.3,9.95,1,1.0
